GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Zoo04Lab,edu.nwmissouri.zoo04lab,CrocodileGroup,3,51,0,0,1,15,1,3,1,3
Zoo04Lab,edu.nwmissouri.zoo04lab,SiberianTiger,40,0,0,0,17,0,5,0,5,0
Zoo04Lab,edu.nwmissouri.zoo04lab,OkapiGroup,3,51,0,0,1,15,1,3,1,3
Zoo04Lab,edu.nwmissouri.zoo04lab,RabbitGroup,3,56,0,2,1,14,1,3,1,2
Zoo04Lab,edu.nwmissouri.zoo04lab,FerociousTiger.Color,21,0,0,0,4,0,1,0,1,0
Zoo04Lab,edu.nwmissouri.zoo04lab,Duck,18,36,0,0,7,14,1,6,1,6
Zoo04Lab,edu.nwmissouri.zoo04lab,PolarBear,47,25,0,0,11,7,2,4,2,4
Zoo04Lab,edu.nwmissouri.zoo04lab,TauntingTiger,43,28,2,0,13,12,2,7,1,7
Zoo04Lab,edu.nwmissouri.zoo04lab,Stag.Months,75,0,0,0,13,0,1,0,1,0
Zoo04Lab,edu.nwmissouri.zoo04lab,Dalmatian,52,0,0,0,21,0,7,0,7,0
Zoo04Lab,edu.nwmissouri.zoo04lab,Rabbit,0,97,0,2,0,28,0,10,0,9
Zoo04Lab,edu.nwmissouri.zoo04lab,Bearcat.occurFrom,21,0,0,0,4,0,1,0,1,0
Zoo04Lab,edu.nwmissouri.zoo04lab,BlackPantherGroup,3,51,0,0,1,15,1,3,1,3
Zoo04Lab,edu.nwmissouri.zoo04lab,Hippopotamus,43,17,0,0,10,7,2,4,2,4
Zoo04Lab,edu.nwmissouri.zoo04lab,CongoLion.COLOUR,21,0,0,0,4,0,1,0,1,0
Zoo04Lab,edu.nwmissouri.zoo04lab,Gerenuk.Gender,21,0,0,0,4,0,1,0,1,0
Zoo04Lab,edu.nwmissouri.zoo04lab,Glyptodon.animal,21,0,0,0,4,0,1,0,1,0
Zoo04Lab,edu.nwmissouri.zoo04lab,Dalmatian.Colorofanimal,33,0,0,0,6,0,1,0,1,0
Zoo04Lab,edu.nwmissouri.zoo04lab,RoaringLion,47,19,0,0,11,7,2,4,2,4
Zoo04Lab,edu.nwmissouri.zoo04lab,Xraytetra,66,25,2,0,14,11,3,6,2,6
Zoo04Lab,edu.nwmissouri.zoo04lab,Kangaroov,62,25,2,0,12,7,3,4,2,4
Zoo04Lab,edu.nwmissouri.zoo04lab,TauntingTigerGroup,59,0,2,0,15,0,4,0,3,0
Zoo04Lab,edu.nwmissouri.zoo04lab,Unicorn.UnicornGender,15,0,0,0,3,0,1,0,1,0
Zoo04Lab,edu.nwmissouri.zoo04lab,MuleDeerGroup,58,0,0,0,18,0,4,0,4,0
Zoo04Lab,edu.nwmissouri.zoo04lab,ZooWebApp,8,0,0,0,3,0,2,0,2,0
Zoo04Lab,edu.nwmissouri.zoo04lab,BuffaloGroup,3,57,0,0,1,18,1,3,1,3
Zoo04Lab,edu.nwmissouri.zoo04lab,ElephantGroup,3,56,0,2,1,14,1,3,1,2
Zoo04Lab,edu.nwmissouri.zoo04lab,SunBearGroup,3,51,0,0,1,15,1,3,1,3
Zoo04Lab,edu.nwmissouri.zoo04lab,ArvicolinaeGroup,3,61,0,0,1,19,1,3,1,3
Zoo04Lab,edu.nwmissouri.zoo04lab,EmuGroup,3,51,0,0,1,15,1,3,1,3
Zoo04Lab,edu.nwmissouri.zoo04lab,myatrributes,33,0,0,0,6,0,1,0,1,0
Zoo04Lab,edu.nwmissouri.zoo04lab,Emu,47,25,0,0,11,7,2,4,2,4
Zoo04Lab,edu.nwmissouri.zoo04lab,Panda,29,18,0,0,11,7,2,4,2,4
Zoo04Lab,edu.nwmissouri.zoo04lab,Buffalo.COLOR,15,0,0,0,3,0,1,0,1,0
Zoo04Lab,edu.nwmissouri.zoo04lab,colorsOfcar,33,0,0,0,6,0,1,0,1,0
Zoo04Lab,edu.nwmissouri.zoo04lab,ZooAuthors,278,0,14,0,68,0,20,0,13,0
Zoo04Lab,edu.nwmissouri.zoo04lab,Deer,24,0,0,0,12,0,6,0,6,0
Zoo04Lab,edu.nwmissouri.zoo04lab,Rabbit.FoodHabits,0,27,0,0,0,5,0,1,0,1
Zoo04Lab,edu.nwmissouri.zoo04lab,Aardvark,43,25,0,0,10,7,2,4,2,4
Zoo04Lab,edu.nwmissouri.zoo04lab,MuleDeer.Play,21,0,0,0,4,0,1,0,1,0
Zoo04Lab,edu.nwmissouri.zoo04lab,Walrus,16,55,0,0,7,16,1,7,1,7
Zoo04Lab,edu.nwmissouri.zoo04lab,Cat,18,50,0,0,8,12,1,5,1,5
Zoo04Lab,edu.nwmissouri.zoo04lab,Shoebill,43,21,0,0,10,9,2,5,2,5
